Date,AAPL,ABBV,ABT,ADBE,AMD,AMZN,AVGO,BA,BAC,BLK,BRK-B,C,CAT,CMCSA,COST,CRM,CSCO,CVX,DE,DIS,GOOGL,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,LIN,LLY,LOW,MA,MCD,META,MRK,MSFT,NEE,NFLX,NKE,NVDA,PEP,PFE,PG,PM,RTX,SBUX,TMO,TSLA,UNH,UPS,V,VZ,WMT,XOM
2022-01-03,-0.030882436425424542,-0.003847571548932825,-0.037499973771781756,-0.10468275637349828,-0.08631664889197041,-0.02528747608863715,-0.07205603908259528,0.06806519125466454,0.1002227485940286,-0.02576719064817462,0.06718968214926627,0.0854923352203771,0.08103186952368832,-0.005578860047503265,-0.05712354531630382,-0.1071416535538201,-0.03598781574685734,0.06339284082909684,0.10224434846372828,0.018803270323639182,-0.0556075996295819,0.03836067753010469,-0.052942123079617626,0.03413339493483891,0.008715592159411256,0.036977743856244416,0.0166952075468057,0.05414375518792245,0.018739267637694804,-0.029736483845146017,-0.062441014906506866,-0.029006940552727827,0.02834338837166253,-0.0037746115905297507,-0.013649991674809576,0.04665049424101595,-0.06854277492691094,-0.07735925209324047,-0.1074579054814182,-0.05996127828860087,-0.07642527766951089,0.0021275738158463412,-0.058045510823844494,-0.0051481670023107344,0.042656020131345264,0.049641793950029774,-0.08377568511935284,-0.09450563036164525,-0.028623573522538998,-0.09070082093953277,0.01766525802114388,0.0011529448831760452,0.04294445392632215,0.0013812598234886804,0.11838206247828265
2022-01-10,0.005213729045762872,0.00731275712424425,-0.05613476986876983,0.01919958810830865,0.03630274266977937,-0.002562432040913043,-0.03748629312815741,0.04739711262589421,-0.026162964572612392,-0.0501807556947631,0.013511429411578338,0.017331410618528612,0.020966027760176954,0.03698768490584271,-0.06389947009564215,0.012708459408436793,0.009630761519520626,0.030948585478754335,0.0024002945874914993,-0.03803284500328411,0.017819687185960262,-0.042578203271567215,-0.056466560033873216,0.00876779655298535,-0.0046087505405280295,0.04142059985219508,-0.03575668087544224,-0.05107673721110258,0.017417312771945106,-0.02301186205635546,-0.06109680247943502,-0.031105240855505936,0.00802482093639102,-0.03563857175943995,0.00033135092146629346,0.013359768443297629,-0.012303117216363067,-0.037856258628451316,-0.02881848388212858,-0.05762685228632169,-0.011257046280327808,0.008921466966283929,-0.013915361540639179,-0.01816830365681572,0.04187853529877605,0.020682254711335144,-0.07177211614107443,-0.020418926912880435,0.021815649454890874,0.021763266530619548,-0.054734730650622766,-0.010611013609684307,-0.005881594909403284,0.0011725850849302437,0.04249305514189329
2022-01-17,-0.06357232486609377,-0.01872467402474441,-0.014826726598388858,-0.04055385611866972,-0.14157910733478246,-0.12810278451947377,-0.11190843505376452,-0.09520398978430832,-0.06444132972894154,-0.0578269173215262,-0.060111852889381756,-0.056235943645519884,-0.06706329306269715,-0.038462713400284274,-0.04343554127302691,-0.0560320291682882,-0.07933669180207176,-0.016024200229195387,-0.041089651724030604,-0.10073481989266078,-0.06769004995057999,-0.10226195007710023,-0.06353550363347864,-0.05939046319223525,-0.036884007216398396,-0.0679674237316351,-0.017854048836609102,-0.08461308437703112,-0.01543026541781457,-0.03881038005840493,-0.004351437180020384,-0.07851705716332348,-0.04692696514261683,-0.012180636553132765,-0.09053985752541052,-0.01735298939307198,-0.04675661332564655,-0.007237777410791482,-0.27951675593824465,-0.03593291759721977,-0.14206212180676825,-0.00811744259134849,-0.04010184825739849,0.017430771791855388,-0.004459326480500168,-0.05705000452160506,-0.03879728981006601,-0.024628265273575114,-0.10615370976276142,-0.01617480163366441,-0.022474011710742522,-0.041565768331233696,-0.0022548855597641203,-0.034148603132745384,0.004165513040702801
2022-01-24,0.04761370331619035,0.04402347302489725,-0.0038218560321459753,0.03585593350034999,-0.12128212204793129,0.009315445126260747,0.04916239802812519,-0.07513441281188442,0.02092826362103888,0.008974198595267673,0.024850799106405207,0.02219542866823306,-0.05745541132388657,-0.00020081896091643262,0.022217513606768793,0.015881973394010148,-0.01905840257202408,0.028737643810402197,0.025771211581538278,0.009057734911175242,0.022750135538967507,0.008973572584982981,0.04874906989573017,-0.015279495434587358,0.03904227641599504,-0.08645267001784346,0.041115577234144454,0.010490428412599841,0.006430822888157196,-0.0037400625792968246,0.008358013041166118,0.04664597525197445,0.07441160100080733,0.005874711430618952,-0.0048274981516368155,0.011437232704665496,0.040482975313794224,-0.13042301303610287,-0.03361535879656362,0.020495030825684234,-0.02311081930115019,-0.008936769191451437,0.02875481593600134,-0.0077375383937590084,0.005812805726989067,0.035150657076937326,0.009301170765465938,-0.014405625298927381,-0.10908722901794503,0.010547591165970111,-0.01849132907612261,0.10180946934436054,-0.004902837713659475,-0.019229492833326724,0.042190206182449716
2022-01-31,0.012021849994175873,0.019600517395096977,0.03419127849962657,-0.008956142711212409,0.16080709680485514,0.09065026612692602,0.05227827897472557,0.08003861797652777,0.051206298042908334,0.00207668981811609,0.006657230118447963,0.021259282315289216,-0.013765104008404428,-0.007874948766362586,0.05403425957594333,-0.013141459437343506,-0.008306429850982617,0.039556355960810675,-0.01157053951994024,0.02415925905055265,0.07190675592843519,0.05764193307234009,-0.018920818426029006,-0.05333034937628308,0.019510827885870424,0.005849163740085181,-0.0009317229480994756,0.03978184479702125,0.0019704072510611436,-0.05535555510055727,-0.01161354715856386,-0.025515361338767816,-0.0008107693719714429,0.015383427491301572,-0.24102652385272783,-0.029351039726547436,-0.007554472018923938,0.047278243369602894,0.06499216534688566,-0.0035699975150365075,0.06274424304270951,-0.0010430081982152632,-0.017210501135939974,0.006396913561119903,0.000675964957727959,0.029237470805726203,-0.022996596872639153,0.038394676815783985,0.08704291811360373,0.036054285427270946,0.1256377319530569,0.001708971357924444,0.007720628287067995,0.013075891636821614,0.07828344616828
2022-02-07,-0.020719940279448526,0.009623149568683655,-0.033075131591927286,-0.08018384920656901,-0.08807105826753847,-0.027956351437301175,-0.028775164506825945,0.02794214553392101,-0.007484287343361115,-0.04719304822065697,0.013089062595000629,0.023908651850521174,0.014162751931494784,-0.03527953512773812,-0.01810857652506868,-0.05306410676991126,-0.022926213919261015,0.021333920882853626,0.06084617231238195,0.051127886688589565,-0.06494555801074185,-0.012427154017921271,-0.026425252183103622,-0.023832687039546562,-0.03305934224511129,-0.0003574803398178505,-0.023104757046126093,0.00887552875372778,-0.011051646589637271,-0.010966675348129137,-0.027323235354377376,-0.01389087967507483,-0.033062726770881706,-0.01902164725717014,-0.07685985430322935,-0.024743466269359794,-0.03627799600845004,-0.013910176686348962,-0.04707166215443667,-0.03649251511239474,-0.015331188796452783,-0.02292893617585626,-0.04278926658045536,-0.03297755268966205,0.041319896593785994,0.024007789548088052,-0.013458518181049532,-0.04847964381006814,-0.07104355719828719,-0.010486041511835503,-0.05157649616744744,-0.016332925526595155,0.00018753419645214112,-0.029129128864812524,-0.014850019948866061
2022-02-14,-0.007977661999151975,0.014124166252803706,-0.07184869621052722,-0.06856798816851421,0.005726649012242795,-0.004524444751181583,0.011392272959107731,-0.015522606590108007,-0.04176160925322758,-0.021551150234832655,-0.01369244611585593,-0.04586091958884335,-0.04726352679230227,-0.020794358667865963,0.0058688810681802855,-0.054665980923450805,0.05959824213531864,-0.03960407369746733,-0.061902146331272064,0.01256550246855769,-0.029316324097745462,-0.04801391276517608,-0.00981132972922323,-0.02633455254561438,-0.05294205103660841,-0.055911919993085354,-0.02628006872746312,-0.011632206182349452,0.03664012857659561,0.027210811603584434,0.019200253235129253,-0.014356113547203238,0.0004867331160479175,-0.018032643866638633,-0.06292732356572849,-0.0035291999934322525,-0.024393774204510152,-0.010864421869379021,-5.10836021475697e-05,0.019567481801746948,-0.012901683611372446,-0.005174014872964905,-0.045320279898473155,0.022835262465450798,0.033249901581325764,-0.02014468593638273,0.0008879277370554636,-0.05284755348262127,-0.0035177598395861984,-0.021820510232754046,-0.019534619879328963,-0.007315386502905681,0.009519444466669297,0.01946519981252173,-0.025153175160535852
2022-02-21,-0.014752621115892879,0.03754201627990611,0.04699872374652555,0.050621997528934294,0.06158014687363388,0.007748310329278513,0.013733175046972211,-0.036787676821779955,-0.02066471951196217,-0.0068352054646429955,0.014005662651430885,-0.03425636173418143,-0.02580532123535936,0.00917729616468485,0.009357746498734536,0.0555793740040449,-0.020662860755902117,0.06129538772165519,-0.061800515292021706,-0.01216413178437658,0.030633525263561973,0.01172150161421718,-0.09115302204125524,0.03469556907342609,-0.0013679717754597823,0.057589992196125143,0.022430153941463124,-0.02779132222422723,0.004944541871441264,-0.017890097923132363,0.047091089573529164,-0.0158872393114961,-0.0023274933909103734,-0.004599644369338031,0.020738004493777135,-0.0006546713306473785,0.03412341338052924,0.03979114918259008,-0.0012531059555035997,-0.02946061043344214,0.02154937678853909,0.00398707292365582,-0.016831565043044495,-0.010435659454100323,-0.0587673300929967,0.049621056763766325,-0.008175543331123905,0.02335049402540531,-0.056540858992730335,0.016830364379608734,0.010054003972041202,-0.015476870781084761,0.005372814832319969,-0.011736374506935857,0.006185206547973811
2022-02-28,-0.010243238173221762,0.006797950538953636,-0.008202910027878112,-0.029228280589502387,-0.11036590084324951,-0.05443353439876782,0.013480095251664733,-0.10807745749620996,-0.09475501665654038,-0.07503548909398147,0.018927637664476513,-0.09097958832237465,0.044949033499877944,0.002969913740045815,0.015360169760432332,-0.02471526867297448,0.008351795701620993,0.12234735198501909,0.11705909626411884,-0.060725072596446036,-0.019169776040824208,-0.060183728529326255,0.023748609615122065,-0.0005196661148349802,0.019458321930801076,0.007517308404687486,0.02074715322405713,-0.09618948165527152,-0.00446498989534427,-0.0554969477686688,0.04680452617854909,0.022065123421805014,-0.10964723534814157,-0.05623212378417029,-0.050773229552067894,0.019591723790385925,-0.02537739564226641,0.0387669019127544,-0.07729778137805048,-0.05646395146734475,-0.05186666528051463,-0.015742952144267672,0.01930098746316548,-0.01978494888555909,-0.053075206686266446,0.02041488005066302,-0.027930469230701898,-0.004575457394816603,0.034490341527964666,0.047011889283051805,0.002093539381168949,-0.09053759870751214,0.01812757569759563,0.04613999382224527,0.07723250875313029
2022-03-07,-0.05311112088528924,-0.010012763745978308,-0.06279922074784004,-0.08237144332482559,-0.038744880541590344,-0.000800238049314508,-0.030909391482069826,-0.025822706343241155,-0.010378592079934327,-0.00716755109687928,0.0038654211423557994,-0.04388977298897267,0.09346865028231754,-0.047498968293177644,0.003647044775225808,-0.02549347048571653,-0.032736733892921886,0.07437840371879019,-0.0015138321056660793,-0.0658658478336384,-0.015555501287197125,-0.0022548411718534412,-0.023306699403406156,-0.02808088095737323,-0.021231583264681896,-0.04771926587659107,-0.0007672539524934479,-0.04186101369378703,-0.0772231040331761,-0.002383322175910917,0.012963767683560062,-0.008335620293456913,-0.018214589208133177,-0.03310180584940183,-0.06425196945100001,0.005509391870814947,-0.03435810880375914,-0.0058869071019940905,-0.06101173458107938,-0.06511922641596372,-0.036959650418717814,-0.06872693920583753,0.03275685586897804,-0.07994632957197768,-0.115993395294723,-0.027175757974544863,-0.08456042673103752,-0.03251533956208466,-0.05258179943927571,-0.0321569131172173,-0.03133329004747178,-0.01803579348967434,-0.038284866136157544,-0.0052651133440878356,0.009821734500905541
